VALUE,TEMP_rec
0.1313406080,9.00000
0.2121379525,14.00000
0.2895554006,12.00000
0.2725678086,12.00000
0.4663543701,5.00000
0.3840290904,6.00000
0.4499812424,6.00000
0.2003978789,11.00000
0.2233267426,12.00000
0.0855913162,11.00000
0.1032825336,7.00000
0.1664323211,12.00000
0.2321327329,9.00000
0.1796834171,11.00000
0.2099692971,12.00000
0.2539657354,12.00000
0.4884347916,7.00000
0.4794040918,6.00000
0.2001743615,13.00000
0.1839314848,13.00000
0.1498732716,9.00000
0.5012846589,6.00000
0.4897440374,6.00000
0.3931258619,8.00000
0.1376866549,8.00000
-0.0856129080,5.00000
0.2492821813,12.00000
0.1478483230,10.00000
0.0961256176,9.00000
0.1443061531,7.00000
0.1530347616,12.00000
0.1685378849,13.00000
0.1525787115,10.00000
0.2269020379,12.00000
0.1553180814,11.00000
0.2041575760,12.00000
0.1703333706,12.00000
0.1872126311,13.00000
0.1318358779,8.00000
0.1934753358,10.00000
0.2846032083,10.00000
0.2312273830,11.00000
0.5118730664,8.00000
0.4687801599,6.00000
0.2143126130,10.00000
0.1887327433,13.00000
0.1685510874,10.00000
0.1548376530,8.00000
-0.0927718356,7.00000
0.2038761228,13.00000
0.1305674166,9.00000
0.1144929603,10.00000
0.1611095816,8.00000
0.1463476569,12.00000
0.1450872570,12.00000
0.1916345954,11.00000
0.1610855162,9.00000
0.1627511680,11.00000
0.4463042021,6.00000
0.1302452981,9.00000
0.4620584249,6.00000
0.0297691803,8.00000
0.1985376030,11.00000
0.1268249303,12.00000
0.2401219755,14.00000
0.3729581237,10.00000
0.1728756875,12.00000
0.1469494253,12.00000
0.1490918994,12.00000
0.1370294839,12.00000
0.1558126360,12.00000
0.0857026801,11.00000
0.1240856648,11.00000
0.1247886047,11.00000
0.1540318429,12.00000
0.3041927516,9.00000
0.2572937608,11.00000
0.0132763200,6.00000
0.0005142521,6.00000
0.2040902674,11.00000
0.1160411537,12.00000
0.4357039034,6.00000
0.4572875798,7.00000
0.1374545842,11.00000
0.1478318423,11.00000
0.0584566519,11.00000
0.1371997595,8.00000
0.1807197779,12.00000
0.1874316335,11.00000
0.0292028952,5.00000
0.0147317918,5.00000
0.2211441696,11.00000
0.1261491477,11.00000
0.1794124246,12.00000
0.2035381645,13.00000
0.1233794019,8.00000
0.3522422314,8.00000
0.4282351136,7.00000
0.4586227834,6.00000
0.0782884285,10.00000
0.2358786315,11.00000
0.1618383229,11.00000
0.0496081039,12.00000
0.1069317982,9.00000
0.0866482407,11.00000
0.2008820772,11.00000
0.1972765774,12.00000
0.2296139449,12.00000
0.1716515720,13.00000
0.1464517713,12.00000
0.1486612260,14.00000
0.1144050956,12.00000
0.1723960340,12.00000
0.1434735656,10.00000
0.1491995454,10.00000
0.1380904764,9.00000
0.1309054792,11.00000
0.1105762497,12.00000
0.1791009754,12.00000
0.1713615954,13.00000
0.1513652802,12.00000
-0.0971599370,5.00000
0.0359035842,14.00000
0.1285954863,12.00000
0.1331888288,12.00000
0.1662802398,12.00000
0.1855533421,12.00000
0.1372983307,10.00000
0.4566109180,6.00000
0.2376784831,12.00000
0.0893085897,11.00000
0.1601466686,11.00000
0.3136687875,6.00000
0.1953762472,12.00000
0.1801465899,12.00000
0.2010905743,11.00000
0.3953919411,11.00000
0.2601518333,6.00000
0.2378464639,12.00000
0.1691511720,11.00000
0.1090756208,12.00000
0.1295833141,12.00000
0.2104816735,11.00000
0.1565851271,12.00000
0.1494219303,11.00000
0.1720490307,12.00000
0.1827431768,8.00000
0.1363694072,12.00000
0.1400017738,11.00000
0.1354682744,11.00000
0.0995189771,12.00000
0.2006335110,12.00000
0.1460764557,12.00000
0.1464158297,11.00000
0.1792572439,12.00000
0.1932156384,11.00000
0.2298263460,7.00000
0.2598988414,11.00000
0.1560509503,11.00000
0.1329906583,12.00000
0.1385653764,12.00000
0.1733528674,11.00000
0.1520708650,12.00000
0.1239132658,12.00000
0.2325531244,7.00000
0.3556670546,3.00000
0.1504979432,12.00000
0.1271120608,11.00000
0.1414831132,12.00000
0.1394962817,12.00000
0.2332586199,5.00000
0.4064134359,6.00000
0.1503036767,11.00000
0.1312188208,12.00000
0.1578815728,11.00000
0.1486454159,12.00000
0.1581554860,12.00000
0.2347853482,12.00000
0.1264543086,8.00000
-0.0245356821,7.00000
0.1995416433,12.00000
0.1472648978,13.00000
0.1249202639,10.00000
0.1994985789,12.00000
0.1602846980,11.00000
0.1269773394,13.00000
0.3290309012,10.00000
0.1311660856,8.00000
0.1441542804,11.00000
0.2390576303,12.00000
0.1025375202,6.00000
0.1362850815,11.00000
0.3997166455,8.00000
0.1560723186,12.00000
0.3501952589,11.00000
0.1709432602,9.00000
0.1181847826,12.00000
0.1847422719,13.00000
0.2801694274,12.00000
0.1632591933,11.00000
0.1350348890,12.00000
0.1723220646,11.00000
0.1084981263,10.00000
0.1577838659,11.00000
0.1544740051,11.00000
0.0505646095,10.00000
0.2237854749,13.00000
0.1140060648,13.00000
0.0718024597,12.00000
0.1848578900,10.00000
0.0936274529,13.00000
0.1417754888,11.00000
0.2046332061,13.00000
0.1563347131,12.00000
0.1971118003,11.00000
0.1619451642,12.00000
0.2088862210,11.00000
0.0961307287,7.00000
0.1607487500,9.00000
0.2884636521,13.00000
0.2434077710,13.00000
0.4060219526,10.00000
0.2434988171,13.00000
0.1542820334,12.00000
0.1555297226,11.00000
0.1065400541,9.00000
0.2154713124,13.00000
0.2372930348,15.00000
0.2604169548,11.00000
0.2056302130,11.00000
0.1513513476,10.00000
0.2483397275,10.00000
0.2186150551,12.00000
0.2872340381,11.00000
0.2654902637,11.00000
0.1248566583,8.00000
0.1402946860,12.00000
0.2105216086,11.00000
0.3413225114,10.00000
0.1078773513,7.00000
0.1766243279,12.00000
0.2310647070,13.00000
0.1995139718,12.00000
0.4820165634,9.00000
0.1787079573,12.00000
0.1787837744,9.00000
0.3272524178,8.00000
0.3091903329,12.00000
0.1339373141,12.00000
0.1546527296,12.00000
0.1486206353,12.00000
0.1529146582,6.00000
0.1760012507,12.00000
0.4091849625,12.00000
0.5416885614,8.00000
0.1730409861,12.00000
0.2596089840,11.00000
0.2387138754,11.00000
0.1350053400,11.00000
0.1473677754,12.00000
0.1124680862,12.00000
0.0697425902,11.00000
0.1264838129,3.00000
0.1625627428,6.00000
0.2128908932,12.00000
0.2484619617,13.00000
0.1276126653,11.00000
0.1875066310,10.00000
0.1785064936,11.00000
0.0863309354,10.00000
0.1054314971,9.00000
0.0893917382,4.00000
0.0969491228,5.00000
0.1732446849,11.00000
0.2348308116,11.00000
0.1241399720,11.00000
0.1213132516,12.00000
0.2636246383,11.00000
0.0632773116,10.00000
0.1420250088,8.00000
0.0902614892,7.00000
0.2327890843,14.00000
0.4620985687,8.00000
0.1238738745,10.00000
0.2322861701,12.00000
0.3637731373,9.00000
0.2057629973,11.00000
0.1685143411,11.00000
0.2320296168,11.00000
0.3344742954,10.00000
0.2393132597,11.00000
0.1207907721,12.00000
0.1085097790,5.00000
0.1546257883,8.00000
0.1367414445,5.00000
0.2613428831,13.00000
